Title: The Star Formation Histories of Local Group Dwarf Galaxies I. 
       Hubble Space Telescope / Wide Field Planetary Camera 2 Observations 
Authors: Weisz D.R., Dolphin A.E., Skillman E.D., Holtzman J., 
         Gilbert K.M., Dalcanton J.J., Williams B.F. 
Table: Star Formation Histories of each WFPC2 Field
================================================================================
Byte-by-byte Description of file: apj495810t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  17 A17    ---         ID        Galaxy identifier
  19-  24 A6     ---         Field     Field identifier
  26-  31 F6.3   10+6solMass TMass     Total mass formed (1)
 361- 364 F4.2   [yr]        f9.5      Mass fraction formed prior to log(t) = 9.5
                                        from best fit SFH (2)
 366- 369 F4.2   [yr]        Urf9.5    Random uncertainty 84th percentile in f9.5
 371- 374 F4.2   [yr]        Utf9.5    Total uncertainty 84th percentile in f9.5
 376- 379 F4.2   [yr]        Lrf9.5    Random uncertainty 16th percentile in f9.5
 381- 384 F4.2   [yr]        Ltf9.5    Total uncertainty 16th percentile in f9.5
 386- 389 F4.2   [yr]        f9.45     Mass fraction formed prior to log(t) = 9.45
                                        from best fit SFH (2)
 391- 394 F4.2   [yr]        Urf9.45   Random uncertainty 84th percentile in f9.45
 396- 399 F4.2   [yr]        Utf9.45   Total uncertainty 84th percentile in f9.45
 401- 404 F4.2   [yr]        Lrf9.45   Random uncertainty 16th percentile in f9.45
 406- 409 F4.2   [yr]        Ltf9.45   Total uncertainty 16th percentile in f9.45
 411- 414 F4.2   [yr]        f9.4      Mass fraction formed prior to log(t) = 9.4
                                        from best fit SFH (2)
 416- 419 F4.2   [yr]        Urf9.4    Random uncertainty 84th percentile in f9.4
 421- 424 F4.2   [yr]        Utf9.4    Total uncertainty 84th percentile in f9.4
 426- 429 F4.2   [yr]        Lrf9.4    Random uncertainty 16th percentile in f9.4
 431- 434 F4.2   [yr]        Ltf9.4    Total uncertainty 16th percentile in f9.4
 436- 439 F4.2   [yr]        f9.35     Mass fraction formed prior to log(t) = 9.35
                                        from best fit SFH (2)
 441- 444 F4.2   [yr]        Urf9.35   Random uncertainty 84th percentile in f9.35
 446- 449 F4.2   [yr]        Utf9.35   Total uncertainty 84th percentile in f9.35
 451- 454 F4.2   [yr]        Lrf9.35   Random uncertainty 16th percentile in f9.35
 456- 459 F4.2   [yr]        Ltf9.35   Total uncertainty 16th percentile in f9.35
 461- 464 F4.2   [yr]        f9.3      Mass fraction formed prior to log(t) = 9.3
                                        from best fit SFH (2)
 466- 469 F4.2   [yr]        Urf9.3    Random uncertainty 84th percentile in f9.3
 471- 474 F4.2   [yr]        Utf9.3    Total uncertainty 84th percentile in f9.3
 476- 479 F4.2   [yr]        Lrf9.3    Random uncertainty 16th percentile in f9.3
 481- 484 F4.2   [yr]        Ltf9.3    Total uncertainty 16th percentile in f9.3
 486- 489 F4.2   [yr]        f9.25     Mass fraction formed prior to log(t) = 9.25
                                        from best fit SFH (2)
 491- 494 F4.2   [yr]        Urf9.25   Random uncertainty 84th percentile in f9.25
 496- 499 F4.2   [yr]        Utf9.25   Total uncertainty 84th percentile in f9.25
 501- 504 F4.2   [yr]        Lrf9.25   Random uncertainty 16th percentile in f9.25
 506- 509 F4.2   [yr]        Ltf9.25   Total uncertainty 16th percentile in f9.25
 511- 514 F4.2   [yr]        f9.2      Mass fraction formed prior to log(t) = 9.2
                                        from best fit SFH (2)
 516- 519 F4.2   [yr]        Urf9.2    Random uncertainty 84th percentile in f9.2
 521- 524 F4.2   [yr]        Utf9.2    Total uncertainty 84th percentile in f9.2
 526- 529 F4.2   [yr]        Lrf9.2    Random uncertainty 16th percentile in f9.2
 531- 534 F4.2   [yr]        Ltf9.2    Total uncertainty 16th percentile in f9.2
 536- 539 F4.2   [yr]        f9.15     Mass fraction formed prior to log(t) = 9.15
                                        from best fit SFH (2)
 541- 544 F4.2   [yr]        Urf9.15   Random uncertainty 84th percentile in f9.15
 546- 549 F4.2   [yr]        Utf9.15   Total uncertainty 84th percentile in f9.15
