 183-188 A6     ---     mask    Name of slitmask
--------------------------------------------------------------------------------
Scl      00 59 30.93 -33 36 49.9              19.758 0.058              18.810 0.047 4913 100 193 2.08 0.07 1.65 +5.13 0.21            +6.34 0.30            +3.44 0.40  107.75  3.05 scl5   1004084             
Scl      00 59 31.53 -33 39 41.7              20.198 0.073              19.291 0.070 4992 109 248 2.30 0.08 1.60 +5.56 0.16            +6.05 0.46 +4.48 0.47             117.38  3.72 scl1   1004271             
Scl      00 59 31.90 -33 40 38.2              19.594 0.057              18.583 0.041 4769  70 165 1.94 0.07 1.68 +5.49 0.12            +5.69 0.37 +4.74 0.19 +3.18 0.27   95.98  2.37 scl1   1004360             
Scl      00 59 31.96 -33 38 36.9              19.144 0.042              18.165 0.034 4874  72 144 1.80 0.07 1.72 +5.48 0.12            +5.65 0.34 +4.39 0.23 +2.68 0.61  104.44  2.13 scl1   1004320             
Scl      00 59 32.78 -33 36 10.9              18.478 0.031              17.405 0.024 4679  56 102 1.42 0.06 1.81 +5.65 0.11 +6.15 0.42 +5.82 0.20 +5.06 0.27 +3.12 0.19   96.25  2.24 scl5   1004448             
Scl      00 59 33.64 -33 37 54.2              19.308 0.043              18.252 0.036 4658  54 125 1.76 0.07 1.72 +6.26 0.11 +6.29 0.49 +6.70 0.17 +5.40 0.34 +3.69 0.20  110.50  2.37 scl5   1004645             
Scl      00 59 33.79 -33 39 26.9              19.186 0.046              18.158 0.033 4708  66 137 1.75 0.07 1.73 +5.07 0.14            +5.97 0.25 +4.46 0.32 +2.94 0.33   99.09  2.56 scl5   1004711             
Scl      00 59 33.82 -33 42 37.9              18.819 0.039              17.711 0.029 4639  38 104 1.51 0.06 1.79 +6.23 0.10            +6.07 0.18 +5.16 0.16 +3.39 0.13  105.53  2.14 scl1   1004775             
Scl      00 59 34.04 -33 36 15.3              18.995 0.042              17.971 0.030 4726  79 131 1.68 0.06 1.74 +5.16 0.15            +5.48 0.48 +4.67 0.35             111.49  2.48 scl5   1004692             
Scl      00 59 34.09 -33 43 51.3              18.746 0.031              17.650 0.032 4593  31  97 1.49 0.06 1.79 +5.95 0.10 +6.24 0.22 +6.14 0.13 +5.01 0.18 +3.40 0.12  110.79  2.15 scl1   1004838             
Scl      00 59 34.24 -33 43 18.7              19.045 0.040              18.054 0.036 4858  45 139 1.74 0.07 1.73 +5.84 0.11 +6.11 0.30 +5.97 0.16 +5.16 0.17 +3.42 0.15  114.44  2.17 scl1   1004861             
Scl      00 59 34.31 -33 37 18.7              19.804 0.070              18.750 0.043 4641  76 169 1.97 0.07 1.68 +5.91 0.12            +6.31 0.28 +4.63 0.49 +3.20 0.32  108.04  2.82 scl5   1004754             
Scl      00 59 35.23 -33 37 31.1              18.669 0.036              17.585 0.022 4592  49 102 1.48 0.06 1.79 +5.54 0.11            +5.82 0.22 +5.01 0.23 +3.19 0.19   95.19  2.25 scl5   1004931             
Scl      00 59 35.37 -33 44 09.2              17.240 0.025              15.668 0.026 3872  10  60 0.39 0.09 2.05 +6.24 0.10 +6.06 0.21 +5.94 0.16 +4.88 0.13 +3.27 0.11  112.99  2.10 scl1   1005103             
Scl      00 59 36.09 -33 37 08.9              18.331 0.031              17.239 0.025 5278 109  98 1.34 0.06 1.83 +5.95 0.11 +5.89 0.67 +6.27 0.17            +3.87 0.16  103.00  2.17 scl5   1005099             
